loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_2ership,annual_inc,verification_status,purpose,title,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,verification_status_joint,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,target
16000,16000,16000,0,0.1033,518.76,1,3,1,71000,2,0,0,16.58,0,2,19,10686,0.118,28,1,15618.97,15618.97,504.99,504.99,381.03,123.96,0,518.76,0,0,-1,0,51850,3,3,2,4,4,41164,78,5,7,9315,36,90600,2,0,4,11,2729,75914,12.3,62,81,4,4,0,4,0,0,3,3,14,18,8,16,20,3,19,0,0,7,100,0,143210,51850,86600,52610,1,1
17500,17500,17500,1,0.2235,486.82,3,9,0,50000,2,0,0,36.92,0,1,16,11232,0.354,37,1,17339.12,17339.12,454.23,454.23,160.88,293.35,0,486.82,0,1,2,0,174230,1,3,1,3,7,54626,89,2,4,2336,71,31700,4,2,8,7,10889,4029,54.7,120,123,5,5,4,9,1,0,3,9,4,6,14,12,19,9,16,0,0,3,100,50,205817,65858,8900,61684,1,1
30000,30000,30000,1,0.1502,714.02,2,2,1,90000,0,0,0,14.28,0,0,8,2425,0.149,10,1,30000,30000,0,0,0,0,0,0,0,0,-1,0,75132,2,3,2,2,2,72707,90,3,3,998,66,16300,1,0,1,5,9392,13372,10.3,156,121,1,1,0,9,12,0,3,5,3,4,4,5,6,5,8,0,0,5,100,0,92697,75132,14900,76397,1,1
20975,20975,20975,0,0.0819,659.13,0,2,0,165000,2,0,0,24.27,0,0,9,4210,0.166,21,1,20975,20975,0,0,0,0,0,0,0,0,-1,0,319246,0,2,1,2,11,67142,,0,2,3004,17,25300,1,2,1,6,35472,4496,40.1,138,211,14,11,3,14,11,0,1,3,1,5,4,4,13,3,9,0,0,1,100,0,378104,111136,7500,85932,1,1
14000,14000,14000,1,0.0819,285.15,0,0,1,65000,1,0,0,13.48,0,0,16,9738,0.391,18,1,13810.4,13810.4,275.59,275.59,189.6,85.99,0,285.15,0,0,-1,0,50306,2,12,0,0,25,40568,96,2,4,6373,75,24900,0,0,0,4,3144,13432,41.3,75,76,5,5,0,14,,0,2,3,3,3,12,4,6,3,16,0,0,2,100,0,67082,50306,22900,42182,0,1
14000,14000,14000,0,0.0819,439.94,0,1,1,36000,1,0,0,25.83,0,0,6,13537,0.736,11,0,14000,14000,0,0,0,0,0,0,0,0,-1,0,16221,0,1,0,0,63,2684,16,0,0,8743,46,18400,0,0,0,0,2704,3163,81.1,240,228,118,63,1,150,,1,3,3,3,4,3,5,7,3,6,0,0,0,90.9,33.3,35298,16221,16700,16898,1,1
20000,20000,20000,0,0.118,662.38,1,3,1,50000,2,6,6,9.18,0,1,17,16576,0.139,26,1,20000,20000,0,0,0,0,0,0,0,0,-1,0,65731,1,1,0,0,98,49155,,2,4,4383,14,119400,0,1,6,4,4382,77204,15.3,114,184,6,6,0,7,1,0,6,7,11,15,2,16,24,7,17,0,0,2,100,0,164900,65731,91200,45500,1,1
32000,32000,32000,0,0.118,1059.81,1,0,1,50000,0,0,0,6.1,0,0,3,2111,0.503,28,1,32000,32000,0,0,0,0,0,0,0,0,-1,0,32405,0,1,1,1,8,30294,103,1,2,29,97,4200,0,0,0,3,10802,471,5.8,112,73,7,7,0,14,14,2,1,2,1,4,21,2,7,2,3,0,0,2,92.9,0,33529,32405,500,29329,1,1
9100,9100,9100,0,0.2631,368.15,4,3,2,62000,2,4,4,13.38,0,1,8,4165,0.121,23,1,9100,9100,0,0,0,0,0,0,0,0,-1,132,32619,2,2,2,2,2,28454,86,1,1,4155,48,34500,0,2,5,3,4077,30335,12.1,79,181,1,1,1,1,1,0,2,2,6,13,4,6,18,2,8,0,0,3,95.5,0,67696,32619,34500,33196,1,1
5000,5000,5000,0,0.1356,169.83,2,1,1,50000,0,1,1,16.77,0,1,9,13356,0.305,9,1,4886.67,4886.67,166.06,166.06,113.33,52.73,0,175.48,0,0,-1,0,28676,3,1,0,0,32,15320,63,3,4,5540,42,43800,0,0,1,4,3186,30144,30.7,32,45,0,0,0,0,1,0,6,6,7,7,1,8,8,6,9,0,0,3,100,0,68322,28676,43500,24522,1,1
36000,36000,36000,1,0.1447,846.46,2,9,1,93600,0,5,5,4.14,0,0,13,521,0.003,29,1,36000,36000,0,0,0,0,0,0,0,0,-1,0,89115,1,2,0,0,44,88594,,1,4,497,0,157800,0,0,0,4,6855,151279,0.3,110,134,1,1,0,1,,0,2,2,10,17,8,11,21,2,13,0,0,1,100,0,224636,89115,151800,66836,1,1
19500,19500,19500,0,0.2437,768.84,4,10,1,56000,2,1,1,29.83,0,0,15,19624,0.66,33,1,19127.17,19127.17,702.84,702.84,372.83,330.01,0,768.84,0,0,-1,0,61669,1,3,1,1,4,42045,80,6,7,3986,66,29530,0,0,2,8,4111,2514,78,218,271,8,4,0,8,9,0,7,12,8,10,5,12,28,11,15,,0,7,73,71.4,81965,61669,17600,52435,1,1
1500,1500,1500,0,0.2534,59.91,4,0,1,20000,0,6,6,9.24,0,0,2,4410,0.832,3,1,1471.76,1471.76,54.63,54.63,28.24,26.39,0,59.91,0,0,-1,0,4410,1,0,0,0,,0,,1,1,4092,83,5300,0,0,0,1,2205,890,83.2,,44,2,2,0,2,,0,2,2,2,3,0,2,3,2,2,0,0,1,100,50,5300,4410,5300,0,1,1
3525,3525,3525,0,0.2534,140.79,4,10,0,150000,1,0,0,14.25,0,1,12,8591,0.311,15,1,3525,3525,0,0,0,0,0,0,0,0,-1,0,77123,1,6,2,4,2,68532,96,1,3,3999,78,27600,2,0,3,7,6427,16526,31.1,30,59,9,2,0,9,2,0,4,6,4,6,7,6,8,6,12,0,0,3,92.3,0,99054,77123,24000,71454,1,1
